name_img set classe
nid_qub_qub_264_624x544 test " cow"
gmiii_mosi_a1978_72_3_624x544 train " train"
ny_nrm_1979_7964_624x544 train " train"
che_crhc_pcf40_624x544 test " train"
not_ntmag_1997_31_624x544 test " horse"
stf_strm_832_624x544 test " horse"
ny_nrm_1986_9418_624x544 test " train"
ny_nrm_2004_7349_624x544 test " train"
ny_nrm_1986_9421_624x544 train " train"
ny_nrm_1996_7374_624x544 test " train"
llr_rlrh_l_h38_1988_3_0_624x544 train " aeroplane horse"
iwm_iwm_ld_5509_624x544 test " aeroplane"
ny_nrm_1977_5834_624x544 train " train"
cw_mte_45_624x544 validation " chair"
ny_yam_260367_624x544 test " aeroplane"
ny_yag_yorag_326_624x544 test " chair diningtable dog"
lne_rafm_fa03538_624x544 test " aeroplane"
dur_dbm_770_624x544 train " bird dog"
dur_dbm_769_624x544 train " bird"
ny_yag_yorag_66_624x544 test " chair"
lw_narm_131900_624x544 train " horse"
syo_cg_cp_tr_156_624x544 test " boat"
esx_am_262_624x544 test " horse"
kt_mmb_06_029_624x544 test " horse"
ng_ng_ng983_624x544 test " cow horse"
nti_trr_337062_624x544 train " horse"
ntiii_cal_290260_624x544 test " horse"
nti_pnc_1420370_624x544 train " horse"
esx_am_258_624x544 test " horse"
esx_am_590_624x544 test " horse"
ntiv_upp_138312_624x544 test " horse"
ntiii_cal_290484_624x544 train " horse"
ntiv_kha_445331_624x544 test " horse"
esx_am_184_624x544 test " horse"
sfk_bsa_1986_004_624x544 train " horse"
esx_am_455_624x544 train " horse"
ntiii_fel_1401221_624x544 train " horse"
ntii_skh_1196043_624x544 test " dog"
ng_ng_ng818_624x544 test " boat"
stf_wag_op536_624x544 test " chair diningtable"
va_pc_2007bp2389_624x544 train " bird"
lan_turt_pcf21_624x544 validation " bird"
cdn_lbcn_426_624x544 test " bird"
nti_ldk_884912_624x544 test " dog"
syo_bha_90009742_624x544 train " dog"
esx_am_443_624x544 test " horse"
ntii_att_609052_624x544 test " horse"
ntiii_erh_201463_624x544 test " horse"
tate_tate_t00888_10_624x544 test " dog horse"
ntii_lyp_500458_624x544 validation " dog"
ny_yag_yorag_37_b_624x544 train " dog"
kt_mmb_06_014_624x544 test " boat"
nmm_nmmg_bhc1081_624x544 train " boat"
nwm_bsi_pcf2_624x544 test " boat"
es_brhm_brm_fa000107_624x544 train " boat"
nts_had_79_71_624x544 train " boat"
pka_pkc_1_63d_624x544 train " boat"
csf_stg_18002_032_624x544 train " boat"
wmr_raa_pl000534_624x544 validation " boat"
ny_yag_yorag_19_624x544 train " diningtable"
ng_ng_ng6358_624x544 train " diningtable"
nts_broe_73_23_624x544 test " diningtable"
abd_aag_ag012121_624x544 train " chair"
war_comp_92_624x544 test " bird diningtable"
ngs_ngs_ng_1193_f_624x544 test " dog"
ntii_ttt_1298858_624x544 test " horse"
ntii_qbm_1452204_624x544 train " cow"
ng_ng_ng2548_624x544 test " horse"
ntiii_bli_355576_624x544 train " horse"
ng_ng_ng3591_624x544 train " chair"
dur_dbm_533_624x544 train " dog"
ng_ng_ng933_624x544 test " bird"
ntiii_ick_851702_624x544 train " dog"
lsw_rbgm_mn_cd1_059_624x544 train " bird"
not_ncmg_1930_20_624x544 train " sheep"
ny_smg_233_624x544 validation " boat"
ntiii_cal_temp4_624x544 train " cow"
nti_stm_872098_624x544 test " boat"
ng_ng_ng1683_624x544 test " horse"
es_brhm_bpv_001084_624x544 train " cow"
syo_bha_90009745_624x544 train " dog"
nti_pnc_1420372_624x544 train " horse"
ntii_sgb_1271092_624x544 train " horse"
ntiv_hartm_temp13_624x544 train " horse"
cw_dcl_1615_624x544 validation " diningtable"
ntiv_pet_485151_624x544 validation " cow"
ny_yag_yorag_330_624x544 train " horse"
ntii_dms_814210_624x544 train " boat"
llr_lams_l_f3_1891_0_0_624x544 train " boat"
nti_lln_461461_624x544 test " boat"
cw_mte_21_624x544 train " boat"
cw_mte_22_624x544 train " boat"
bbo_chq_193_624x544 train " boat dog"
gac_gac_1842_624x544 test " horse"
nmm_nmmg_bhc1604_624x544 test " boat"
wmr_aph_n070467_624x544 train " horse"
ntii_argy_564856_624x544 test " dog horse"
ntiii_ang_515824_624x544 train " horse"
ntiv_car_154006_624x544 test " dog"
ntiii_cal_290442_624x544 train " horse"
esx_am_416_624x544 test " horse"
nml_warg_wag_2347_624x544 test " horse"
esx_am_113_624x544 test " horse"
ntii_lyp_500008_624x544 test " horse"
ntii_lyp_500007_624x544 test " horse"
ntiv_kha_445333_624x544 test " horse"
esx_am_451_624x544 test " horse"
nti_ant_353115_624x544 train " horse"
war_herb_305_624x544 validation " horse"
che_waga_1978_224_624x544 test " boat"
ntii_uph_446720_624x544 test " dog"
nti_dyp_453798_624x544 train " dog"
va_pc_2007bn6088_624x544 train " boat"
stf_wag_op708_624x544 test " boat"
twms_sag_twcms_c7373_624x544 test " bird"
ntii_att_608999_624x544 train " sheep"
lan_harr_prsmg_p14_624x544 train " dog"
stc_slk_419_624x544 train " horse"
cdnii_ken_j910563_624x544 test " boat"
nti_tyd_13756_624x544 test " boat"
not_nocch_ch0021_624x544 test " bird boat"
nmm_nmmg_bhc1266_624x544 test " boat"
ng_ng_ng2541_624x544 train " dog"
wlc_wlc_p83_624x544 train " bird"
dur_drm_1998_64_624x544 validation " dog"
ny_mag_harag_101_624x544 test " bird horse"
sfk_ccm_r_1993_68_3_624x544 test " sheep"
ntiv_pet_486196_624x544 train " bird"
ntiv_pet_486277_624x544 test " bird"
cw_rcm_truri_1921_31_624x544 train " chair"
llr_lams_l_f10_1882_0_0_624x544 train " sheep"
llr_lcnug_1927_49_624x544 train " boat"
stf_wedsd_p_107_624x544 test " bird cow dog sheep"
ng_ng_ng861_624x544 train " cow"
ny_mag_harag_94_624x544 test " diningtable"
not_ncmg_1911_50_624x544 test " horse"
gmi_toro_1029_624x544 test " horse"
ntiii_ang_515514_6_624x544 train " cow sheep"
nwm_scp_sco_fa_op_102_624x544 train " dog"
lse_dpg_dpg343_624x544 test " cow"
esx_am_42_624x544 test " cow"
va_pc_2007bp1195_624x544 test " cow sheep"
es_brhm_bpv_001088_624x544 train " cow"
brm_bmag_1935p72_624x544 train " cow"
ng_ng_ng2130_624x544 test " horse"
cw_ccc_ccp067_624x544 validation " chair"
war_herb_197_624x544 test " chair"
nti_gny_121365_624x544 train " dog"
twms_lag_twcms_g3858_624x544 train " horse"
ntii_dms_814197_624x544 test " dog horse"
ntiii_nost_959471_1_624x544 validation " dog"
esx_am_448_624x544 train " horse"
ntiii_wim_207921_624x544 test " horse"
sw_bhac_js3043_624x544 train " boat"
stf_wag_op806_624x544 train " boat"
ng_ng_ng238_624x544 train " bird dog"
not_ncmg_1940_17_624x544 test " bird"
ny_nrm_1988_8138_624x544 train " boat train"
ng_ng_ng3941_624x544 train " chair"
ntii_ccs_537731_624x544 train " diningtable"
ng_ng_ng961_624x544 train " cow dog"
ng_ng_ng962_624x544 train " cow dog"
stf_wag_op162_624x544 test " cow"
nti_edg_1151441_624x544 validation " dog"
lan_ross_2001_08_04_624x544 train " dog"
ngs_ngs_ng_1236_624x544 validation " dog"
wyl_lmg_114_25_624x544 test " dog"
syo_bha_90003665_624x544 test " dog"
syo_bha_90003666_624x544 train " dog"
edi_city_hh_3345_1969_624x544 test " dog"
dur_dbm_912_624x544 train " dog"
sw_abm_pcf105_624x544 train " dog"
ngs_ngs_ng_2197_624x544 test " dog"
ngs_ngs_ng_2196_624x544 train " dog"
llr_ntlms_pcf2_624x544 validation " dog"
ash_ashm_wa1957_59_2_624x544 train " dog"
edi_city_mc_4124_1961_624x544 test " dog"
nml_sud_wag_278_624x544 validation " dog"
ntiii_nunh_979337_624x544 validation " dog"
ntiv_wadd_8089_624x544 test " dog"
ntiv_vyn_27595_624x544 train " dog"
dur_dbm_900_624x544 train " dog"
nml_sud_wag_249_624x544 train " dog"
ntii_sgb_1271048_624x544 test " dog"
ntii_dnms_932383_624x544 test " dog"
ngs_ngs_ng_708_624x544 train " dog"
twms_sag_twcms_b6219_624x544 test " dog"
ng_ng_ng1081_624x544 test " cow"
ng_ng_ng2710_624x544 test " horse"
ny_mag_harag_20_624x544 test " bird dog"
cw_rcm_truri_1913_10_624x544 test " bird"
nml_warg_wag_9526_624x544 test " cow dog"
nti_pnc_1420371_624x544 train " horse"
ng_ng_ng882_624x544 train " boat horse"
nmm_nmmg_bhc0772_624x544 test " boat"
bbo_chq_131_624x544 validation " boat"
glw_cbca_1899_1_7_624x544 train " horse"
not_ncmg_1910_55_624x544 train " chair dog"
ny_yfh_nt1984_017_624x544 validation " boat"
ny_yag_yorag_669_624x544 validation " bird boat"
ntiii_mrsh_744009_624x544 test " chair"
va_pc_2006bh7597_624x544 train " horse"
ny_yag_yorag_1172_624x544 test " bird"
glw_mip_2008_54_174_624x544 test " diningtable"
ng_ng_ng1699_624x544 test " chair diningtable"
ng_ng_ng821_624x544 validation " dog"
war_sbt_10_624x544 train " diningtable"
nml_warg_wag_2313_624x544 validation " sheep"
ng_ng_ng867_624x544 train " cow sheep"
stc_erc_erc1022_624x544 train " cow"
war_comp_25_624x544 test " cow"
ntii_uph_446687_624x544 test " horse"
ny_mag_harag_757_624x544 test " boat horse"
ng_ng_ng1347_624x544 validation " diningtable"
nts_brod_2009_537_1_624x544 test " horse"
va_pc_2007bn5727_624x544 train " bird"
nml_warg_wag_9540_624x544 validation " horse"
ntiv_wadd_550_624x544 train " horse"
nts_tar_49_246_624x544 train " boat"
bst_bmagg_k2416_624x544 test " boat"
nmm_nmmg_bhc0791_624x544 train " boat"
ngs_ngs_ng_329_624x544 test " boat"
ntiii_ang_515518_1_624x544 test " boat"
nmm_nmmg_bhc1300_624x544 validation " boat"
nmm_nmmg_bhc1000_624x544 test " boat"
nts_tas_26_1_624x544 test " boat"
nti_pnw_44765_624x544 test " boat"
nmm_nmmg_bhc2496_624x544 test " boat"
tate_tate_t07799_10_624x544 train " boat"
nmm_nmmg_bhc0717_624x544 test " boat"
nsc_abms_pehms_p11735_624x544 test " boat"
nmm_nmmg_bhc0837_624x544 train " boat"
ngs_ngs_ng_2351_624x544 train " boat"
nti_pnw_1175976_624x544 train " boat"
cu_trh_31_624x544 train " boat"
nmm_nmmg_bhc0715_624x544 test " boat"
nml_cae_cenm1996_24_624x544 test " boat"
nmm_nmmg_bhc1219_624x544 test " boat"
wmrii_fwf_145696_624x544 test " bird"
syo_cg_cp_tr_152_624x544 validation " sheep"
shef_msh_vis_2716_624x544 validation " sheep"
wyl_lmg_006_34_624x544 validation " sheep"
wyl_lmg_006_26_624x544 test " sheep"
stf_wag_op59_624x544 train " chair diningtable"
ny_yag_yorag_196_624x544 test " bird boat"
nmm_nmmg_bhc1110_624x544 test " boat"
wyl_lmg_122_20_624x544 test " horse"
ng_ng_ng969_624x544 train " boat"
ny_yag_yorag_802_624x544 train " bird diningtable dog"
ng_ng_ng3314_624x544 test " bird"
cw_rcm_truri_1995_7_624x544 test " chair"
ntiv_kha_445332_624x544 test " horse"
ng_ng_ng3529_624x544 train " horse"
nml_warg_wag_9541_624x544 train " horse"
ntiv_wadd_2200_624x544 test " horse"
ntiv_chah_pcf33_624x544 test " diningtable"
che_waga_1877_86_624x544 train " dog"
ntiii_ang_515720_5_624x544 test " dog"
ng_ng_ng5583_624x544 test " bird"
ng_ng_ng3261_624x544 test " bird"
ny_yag_yorag_91_624x544 train " chair"
wyl_lmg_080_21_624x544 test " diningtable"
nts_cfr_89_25918_624x544 test " dog"
ng_ng_ng622_624x544 test " diningtable"
stf_wag_op415_624x544 test " dog horse"
ntiv_hamh_1140158_624x544 test " bird"
cw_phg_pezph_1989_53_624x544 train " boat"
ntiv_chah_1430522_624x544 test " dog"
