,VGG16 version Tensorflow Slim image en RGB,VGG16 avec kernel normal et image en RGB,VGG16 Matlab image en RGB
loulou,259 : Pomeranian : 27.126,259 : Pomeranian : 27.126,260 Pomeranian 27.0473
,151 : Chihuahua : 18.7484,151 : Chihuahua : 18.7484,152 Chihuahua 18.6778
,"154 : Pekinese, Pekingese, Peke : 17.9795","154 : Pekinese, Pekingese, Peke : 17.9795","155 Pekinese, Pekingese, Peke 17.9587"
,152 : Japanese spaniel : 17.1226,152 : Japanese spaniel : 17.1226,153 Japanese spaniel 17.0484
,261 : keeshond : 16.9831,261 : keeshond : 16.9831,262 keeshond 16.9186
,,,
cat,285 : Egyptian cat : 8.84279,285 : Egyptian cat : 8.84279,286Egyptian cat8.845
,"281 : tabby, tabby cat : 7.91803","281 : tabby, tabby cat : 7.91803","282tabby, tabby cat7.9019"
,478 : carton : 7.73486,478 : carton : 7.73486,479carton7.7792
,"287 : lynx, catamount : 7.40262","287 : lynx, catamount : 7.40262","288lynx, catamount7.3395"
,282 : tiger cat : 7.12015,282 : tiger cat : 7.12015,283tiger cat7.105
,,,
,,,
,VGG19 Tensorflow ,VGG19 avec kernel normal et image en RGB,VGG19 Matlab image en RGB
loulou,259 : Pomeranian : 25.6654,259 : Pomeranian : 25.6654,260 : Pomeranian : 25.6092
,151 : Chihuahua : 17.4193,151 : Chihuahua : 17.4193,152 : Chihuahua : 17.3152
,"154 : Pekinese, Pekingese, Peke : 17.3109","154 : Pekinese, Pekingese, Peke : 17.3109","155 : Pekinese, Pekingese, Peke : 17.2465"
,152 : Japanese spaniel : 16.2575,152 : Japanese spaniel : 16.2575,153 : Japanese spaniel : 16.1717
,261 : keeshond : 14.0263,261 : keeshond : 14.0263,262 : keeshond : 14.0345
,,,
cat,285 : Egyptian cat : 9.18619,285 : Egyptian cat : 9.18619,286 : Egyptian cat : 9.0297
,"287 : lynx, catamount : 8.42484","287 : lynx, catamount : 8.42484","288 : lynx, catamount : 8.2324"
,282 : tiger cat : 7.23883,282 : tiger cat : 7.23883,283 : tiger cat : 7.1511
,"281 : tabby, tabby cat : 7.15185","281 : tabby, tabby cat : 7.15185","282 : tabby, tabby cat : 7.0589"
,478 : carton : 6.7027,478 : carton : 6.7027,479 : carton : 6.6478
