classe,name_img,set
train,2008_000003,validation
boat,2008_000007,validation
horse,2008_000008,train
cow,2008_000009,validation
dog,2008_000019,train
aeroplane,2008_000021,validation
dog,2008_000026,validation
aeroplane,2008_000033,train
boat,2008_000036,train
aeroplane,2008_000037,train
chair diningtable,2008_000041,train
chair diningtable,2008_000043,validation
train,2008_000045,train
chair,2008_000051,validation
dog,2008_000053,train
bird,2008_000054,validation
dog,2008_000059,validation
aeroplane,2008_000064,validation
dog,2008_000066,train
chair,2008_000067,validation
chair,2008_000070,train
cow,2008_000073,validation
horse,2008_000076,validation
dog,2008_000078,validation
dog,2008_000080,validation
boat,2008_000082,validation
sheep,2008_000084,validation
chair,2008_000089,train
chair,2008_000093,train
bird,2008_000095,train
bird,2008_000097,train
dog sheep,2008_000099,train
bird,2008_000103,train
chair,2008_000107,validation
chair,2008_000115,validation
horse,2008_000119,validation
boat,2008_000120,validation
bird,2008_000123,validation
bird,2008_000131,train
bird,2008_000134,validation
dog,2008_000138,validation
boat,2008_000140,validation
horse,2008_000141,train
horse,2008_000142,train
boat,2008_000148,train
chair,2008_000149,validation
aeroplane,2008_000151,train
dog,2008_000162,train
horse,2008_000177,validation
dog,2008_000183,validation
train,2008_000190,validation
bird,2008_000192,train
boat,2008_000195,validation
aeroplane,2008_000197,train
chair,2008_000202,train
horse,2008_000219,validation
chair diningtable,2008_000227,train
boat,2008_000235,train
dog,2008_000239,validation
chair,2008_000246,validation
aeroplane,2008_000251,validation
sheep,2008_000257,validation
boat,2008_000262,train
dog,2008_000268,validation
dog,2008_000270,validation
chair dog,2008_000273,train
chair,2008_000274,validation
aeroplane,2008_000291,train
chair,2008_000297,train
chair,2008_000305,validation
bird,2008_000318,train
dog,2008_000330,train
cow,2008_000335,train
dog,2008_000336,train
diningtable,2008_000338,train
bird,2008_000339,validation
train,2008_000343,train
bird,2008_000350,train
bird,2008_000361,train
aeroplane,2008_000367,validation
horse,2008_000371,train
train,2008_000373,validation
chair,2008_000381,validation
chair diningtable,2008_000397,train
bird,2008_000400,train
horse,2008_000403,validation
boat,2008_000405,train
boat,2008_000414,validation
chair diningtable,2008_000418,validation
dog,2008_000419,validation
boat,2008_000423,validation
horse,2008_000428,train
chair,2008_000432,train
boat,2008_000437,train
train,2008_000470,train
boat,2008_000471,train
bird,2008_000472,validation
chair,2008_000473,validation
chair,2008_000489,validation
diningtable,2008_000493,train
chair,2008_000495,train
chair,2008_000498,validation
horse,2008_000499,train
boat,2008_000505,train
bird,2008_000512,train
bird,2008_000515,train
bird,2008_000532,validation
bird,2008_000533,validation
horse,2008_000552,train
dog,2008_000559,train
boat,2008_000567,train
chair,2008_000572,train
diningtable,2008_000573,validation
aeroplane,2008_000585,train
chair,2008_000588,train
horse,2008_000602,validation
dog,2008_000620,validation
chair,2008_000626,train
dog,2008_000641,train
train,2008_000657,validation
dog,2008_000661,validation
sheep,2008_000669,train
chair,2008_000673,validation
dog,2008_000676,train
bird,2008_000678,train
chair dog,2008_000690,validation
horse,2008_000696,train
bird,2008_000697,validation
chair,2008_000704,train
dog,2008_000706,validation
cow,2008_000711,train
aeroplane,2008_000716,train
dog,2008_000721,train
aeroplane,2008_000756,train
chair,2008_000760,train
dog,2008_000761,train
horse,2008_000765,validation
horse,2008_000783,validation
bird,2008_000785,train
dog,2008_000788,validation
chair,2008_000790,train
bird,2008_000798,train
aeroplane,2008_000804,validation
aeroplane,2008_000805,validation
dog,2008_000808,train
dog,2008_000815,train
chair diningtable,2008_000817,validation
chair,2008_000824,train
dog,2008_000829,train
bird,2008_000832,train
boat,2008_000833,train
boat,2008_000834,validation
chair diningtable,2008_000835,validation
dog,2008_000837,validation
chair,2008_000847,train
bird,2008_000848,validation
bird,2008_000861,train
dog,2008_000863,validation
chair,2008_000870,train
cow,2008_000876,validation
horse,2008_000880,validation
aeroplane,2008_000883,train
diningtable,2008_000885,validation
dog,2008_000897,validation
dog,2008_000901,train
chair,2008_000904,validation
cow,2008_000905,train
horse,2008_000912,train
chair,2008_000914,train
sheep,2008_000915,train
train,2008_000916,validation
cow,2008_000919,validation
dog,2008_000931,validation
dog,2008_000934,train
chair,2008_000936,validation
chair,2008_000941,train
dog,2008_000943,validation
dog,2008_000956,validation
boat,2008_000957,validation
bird,2008_000960,validation
cow,2008_000964,validation
dog,2008_000973,train
chair,2008_000976,validation
boat,2008_001013,validation
bird,2008_001020,train
horse,2008_001031,train
boat,2008_001040,validation
boat,2008_001041,validation
chair,2008_001046,validation
boat,2008_001047,train
aeroplane,2008_001054,train
boat,2008_001056,train
cow,2008_001062,validation
horse,2008_001068,validation
dog,2008_001070,validation
chair,2008_001073,train
diningtable,2008_001077,validation
chair diningtable,2008_001083,train
train,2008_001105,train
horse,2008_001112,train
train,2008_001114,validation
train,2008_001118,train
bird,2008_001120,validation
chair,2008_001133,train
boat,2008_001135,validation
boat,2008_001136,validation
dog,2008_001137,train
chair,2008_001143,train
chair,2008_001147,train
diningtable,2008_001155,validation
boat,2008_001159,train
boat,2008_001160,validation
bird,2008_001161,train
train,2008_001164,train
boat,2008_001167,validation
train,2008_001169,train
horse,2008_001171,train
dog,2008_001182,train
bird,2008_001185,validation
bird,2008_001194,validation
boat,2008_001202,train
horse,2008_001218,validation
dog,2008_001220,validation
aeroplane,2008_001227,validation
diningtable,2008_001230,train
horse,2008_001235,train
train,2008_001236,validation
dog,2008_001238,train
dog,2008_001248,validation
boat,2008_001260,validation
bird,2008_001264,validation
horse,2008_001278,train
dog,2008_001285,train
chair,2008_001320,validation
chair,2008_001333,validation
chair,2008_001338,validation
bird,2008_001351,train
cow,2008_001359,train
dog,2008_001379,validation
aeroplane,2008_001380,validation
horse,2008_001382,train
bird,2008_001387,train
boat,2008_001389,train
dog,2008_001410,validation
bird,2008_001415,validation
